<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.22	08:30:00	11557.05	11577.22	11552.62	11557.20	2411	0	100
2022.09.22	09:00:00	11557.72	11580.99	11555.99	11578.76	2950	0	200
2022.09.22	09:30:00	11578.88	11579.13	11529.74	11547.71	3075	0	200
2022.09.22	10:00:00	11547.46	11587.16	11533.23	11576.89	4473	0	200
2022.09.22	10:30:00	11575.78	11655.96	11572.22	11645.00	4431	0	100
2022.09.22	11:00:00	11646.36	11689.76	11641.97	11675.56	4862	0	100
2022.09.22	11:30:00	11674.45	11727.47	11674.08	11686.64	4496	0	200
2022.09.22	12:00:00	11685.77	11689.35	11644.04	11653.85	3846	0	200
2022.09.22	12:30:00	11654.23	11665.43	11615.40	11633.46	3785	0	200
2022.09.22	13:00:00	11632.96	11647.98	11613.08	11647.98	2969	0	200
2022.09.22	13:30:00	11647.77	11666.25	11637.46	11658.39	3133	0	200
2022.09.22	14:00:00	11657.89	11666.95	11573.14	11576.09	4497	0	200
2022.09.22	14:30:00	11575.96	11641.72	11575.96	11633.04	4305	0	200
2022.09.22	15:00:00	11632.79	11661.52	11614.15	11629.46	4272	0	200
2022.09.22	15:30:00	11629.90	11684.76	11597.78	11651.48	4866	0	200
2022.09.22	16:00:00	11650.99	11654.65	11566.43	11573.88	5240	0	200
2022.09.22	16:30:00	11573.02	11614.69	11503.00	11523.25	8031	0	100
2022.09.22	17:00:00	11523.13	11571.13	11497.88	11531.00	7687	0	100
2022.09.22	17:30:00	11530.25	11554.50	11469.75	11477.25	7198	0	100
2022.09.22	18:00:00	11476.50	11503.45	11447.87	11478.34	6478	0	100
2022.09.22	18:30:00	11477.85	11527.71	11472.62	11501.21	6355	0	100
2022.09.22	19:00:00	11502.33	11540.06	11478.04	11511.49	6446	0	100
2022.09.22	19:30:00	11511.24	11546.63	11497.18	11516.25	6269	0	100
2022.09.22	20:00:00	11516.50	11524.83	11474.97	11505.87	5775	0	100
2022.09.22	20:30:00	11505.88	11542.75	11495.52	11528.60	5836	0	100
2022.09.22	21:00:00	11528.61	11537.06	11459.75	11477.76	5929	0	100
2022.09.22	21:30:00	11478.01	11528.60	11466.73	11520.49	6191	0	100
2022.09.22	22:00:00	11520.61	11590.60	11520.24	11562.42	6666	0	100
2022.09.22	22:30:00	11562.54	11619.61	11497.69	11500.42	7138	0	100
2022.09.22	23:00:00	11498.68	11513.43	11489.05	11491.33	2970	0	100
2022.09.22	23:30:00	11491.58	11508.48	11479.58	11503.40	2016	0	100
2022.09.23	01:00:00	11519.19	11521.94	11502.08	11517.48	1499	0	200
2022.09.23	01:30:00	11517.60	11520.21	11494.05	11507.08	1394	0	200
2022.09.23	02:00:00	11506.96	11518.74	11503.24	11513.50	1145	0	200
2022.09.23	02:30:00	11513.75	11525.64	11512.28	11522.95	1400	0	200
2022.09.23	03:00:00	11523.10	11535.64	11516.02	11523.22	2234	0	200
2022.09.23	03:30:00	11523.34	11532.73	11517.21	11517.21	1583	0	200
2022.09.23	04:00:00	11517.58	11520.60	11502.39	11502.76	2168	0	200
2022.09.23	04:30:00	11502.89	11518.90	11500.16	11517.91	2278	0	200
2022.09.23	05:00:00	11518.16	11518.53	11483.84	11485.21	2329	0	200
2022.09.23	05:30:00	11485.34	11487.94	11463.91	11482.28	2285	0	200
2022.09.23	06:00:00	11481.91	11492.22	11477.00	11483.05	1928	0	200
2022.09.23	06:30:00	11482.92	11483.05	11464.20	11472.25	1819	0	200
2022.09.23	07:00:00	11472.63	11475.88	11436.81	11456.43	2220	0	200
2022.09.23	07:30:00	11456.19	11468.31	11445.45	11448.92	1818	0	200
2022.09.23	08:00:00	11448.55	11489.40	11447.66	11482.16	2796	0	200
2022.09.23	08:30:00	11482.29	11483.38	11460.34	11471.76	2233	0	200
2022.09.23	09:00:00	11470.77	11494.32	11463.05	11466.96	2762	0	100
2022.09.23	09:30:00	11468.08	11491.17	11464.47	11469.21	2277	0	200
2022.09.23	10:00:00	11468.96	11471.94	11423.13	11453.70	4429	0	200
2022.09.23	10:30:00	11453.83	11458.34	11435.13	11454.54	3723	0	200
2022.09.23	11:00:00	11454.79	11469.74	11424.55	11427.82	3507	0	200
2022.09.23	11:30:00	11427.94	11439.04	11407.42	11408.53	3409	0	200
2022.09.23	12:00:00	11408.29	11413.66	11392.94	11394.18	3560	0	200
2022.09.23	12:30:00	11393.94	11398.03	11354.91	11390.30	4373	0	200
2022.09.23	13:00:00	11390.18	11391.62	11355.74	11358.82	3872	0	200
2022.09.23	13:30:00	11358.94	11363.54	11320.01	11325.42	4380	0	200
2022.09.23	14:00:00	11324.21	11339.06	11315.30	11333.43	4677	0	200
2022.09.23	14:30:00	11333.18	11353.35	11316.95	11347.48	4100	0	200
2022.09.23	15:00:00	11346.36	11365.08	11341.44	11361.27	4048	0	200
2022.09.23	15:30:00	11361.52	11362.51	11330.90	11347.21	4164	0	200
2022.09.23	16:00:00	11346.96	11418.62	11344.31	11397.45	4906	0	200
2022.09.23	16:30:00	11399.32	11407.69	11287.95	11290.93	7913	0	100
2022.09.23	17:00:00	11290.81	11343.68	11275.93	11342.43	7515	0	100
2022.09.23	17:30:00	11341.81	11354.81	11301.31	11315.87	6956	0	100
2022.09.23	18:00:00	11315.37	11362.84	11298.24	11314.99	6698	0	100
2022.09.23	18:30:00	11315.24	11335.19	11277.29	11299.14	6287	0	100
2022.09.23	19:00:00	11298.40	11304.94	11241.47	11242.59	5930	0	100
2022.09.23	19:30:00	11242.34	11299.79	11235.65	11292.40	5938	0	100
2022.09.23	20:00:00	11292.03	11308.88	11254.68	11256.42	5861	0	100
2022.09.23	20:30:00	11256.67	11273.80	11245.64	11267.30	5490	0	100
2022.09.23	21:00:00	11267.43	11283.78	11194.72	11221.02	6191	0	100
2022.09.23	21:30:00	11221.77	11221.77	11168.13	11175.95	6129	0	100
2022.09.23	22:00:00	11175.32	11267.96	11173.21	11257.99	6786	0	100
